t_d	Normalized Data	t_d	ΔT_ph	ΔT_e	ΔT_m
0	0	-0.101050525262631	7.28940240943615	41.7328755237337	21.4516043925435
0	0	-0.0992996498249126	7.32188435289646	41.858673780811	21.5405749172241
0	0	-0.0975487743871937	7.35445098018552	41.9840540312023	21.6297055976211
0	0	-0.0957978989494748	7.38710177089003	42.1090111442964	21.7189938941192
0	0	-0.094047023511756	7.41983620154069	42.2335423975528	21.8084372610108
0	0	-0.0922961480740371	7.45265374766556	42.3576468683369	21.8980331557781
0	0	-0.0905452726363182	7.48555388531081	42.4813249622174	21.9877790459584
0	0	-0.0887943971985994	7.51853609217029	42.6045780846148	22.0776724142174
0	0	-0.0870435217608805	7.55159984842716	42.7274083789051	22.167710762099
0	0	-0.0852926463231616	7.5847446373789	42.849818543934	22.2578916127787
0	0	-0.0835417708854428	7.61796993031695	42.9717803751874	22.3482124446605
0	0	-0.0817908954477241	7.65127516426329	43.0932519595573	22.4386705940326
0	0	-0.080040020010005	7.68465974813408	43.2142175612947	22.5292632828108
0	0	-0.0782891445722862	7.71812308103177	43.3346717944812	22.6199876988028
0	0	-0.0765382691345673	7.75166455892466	43.4546120430515	22.7108410245658
0	0	-0.0747873936968484	7.78528357707319	43.5740377044279	22.8018204479289
0	0	-0.0730365182591296	7.81897953174736	43.6929496436417	22.8929231696154
0	0	-0.0712856428214107	7.85275182147188	43.8113498126419	22.9841464087966
0	0	-0.069534767383692	7.88659984793893	43.9292409605432	23.0754874071486
0	0	-0.067783891945973	7.92052301667818	44.0466264283743	23.1669434318025
0	0	-0.0660330165082543	7.95452073754847	44.1635099890681	23.2585117774767
0	0	-0.0642821410705352	7.98859242509577	44.279895733064	23.3501897679959
0	0	-0.0625312656328164	8.0227374887872	44.3957678382321	23.4419747133466
0	0	-0.0607803901950977	8.05695530793625	44.5110800977462	23.5338637997945
0	0	-0.0590295147573786	8.09124522299858	44.6257993255552	23.6258540523629
0	0	-0.05727863931966	8.12560655480563	44.7399178468754	23.7179424196287
0	0	-0.0555277638819409	8.16003861924652	44.853431613094	23.8101258377387
0	0	-0.0537768884442222	8.19454073046671	44.9663391524002	23.9024012440838
0	0	-0.0520260130065034	8.22911220309294	45.0786408840285	23.9947655871092
0	0	-0.0502751375687843	8.26375235383568	45.1903386132746	24.0872158334697
0	0	-0.0485242621310656	8.29846050266012	45.301435171628	24.1797489732525
0	0	-0.0467733866933466	8.33323597364656	45.4119341454906	24.27236202379
0	0	-0.0450225112556279	8.36807809562216	45.5218396798558	24.365052032425
0	0	-0.043271635817909	8.40298620262327	45.6311563267669	24.457816078498
0	0	-0.0415207603801902	8.43795963374795	45.7398879669046	24.5506512726323
0	0	-0.0397698849424713	8.47299771885211	45.848010443479	24.6435546938654
0	0	-0.0380190095047523	8.50809976258254	45.9554956649502	24.7365233198678
0	0	-0.0362681340670336	8.54326505474191	46.0623403479995	24.8295540728985
0	0	-0.0345172586293147	8.57849288401492	46.1685437663242	24.9226438798255
0	0	-0.0327663831915959	8.61378254022842	46.2741069734609	25.0157896816232
