t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-0.478452301534356	295.00654773603	295.648538538823
-0.47631754503002	295.006686151815	295.660322771976
-0.474182788525684	295.006827082317	295.672276216957
-0.472048032021347	295.006970563633	295.684400332593
-0.469913275517011	295.007116632173	295.696696570021
-0.467778519012675	295.007265324652	295.709166372179
-0.465643762508339	295.007416678097	295.721811173282
-0.463509006004003	295.007570729837	295.734632398305
-0.461374249499666	295.007727517507	295.747631462448
-0.45923949299533	295.007887079041	295.760809770602
-0.457104736490994	295.008049452674	295.774168716811
-0.454969979986658	295.008214676938	295.78770968372
-0.452835223482321	295.008382790658	295.801434042026
-0.450700466977985	295.008553832954	295.815343149922
-0.448565710473649	295.00872784323	295.829438352535
-0.446430953969313	295.008904861182	295.843720981356
-0.444296197464977	295.009084926785	295.858192353674
-0.44216144096064	295.009268080298	295.872853771995
-0.440026684456304	295.009454362256	295.887706523463
-0.437891927951968	295.009643813466	295.902751879278
-0.435757171447632	295.009836475007	295.917991094103
-0.433622414943295	295.010032388228	295.933425405476
-0.431487658438959	295.010231594736	295.949056033208
-0.429352901934623	295.010434136401	295.96488417879
-0.427218145430287	295.010640055349	295.980911024784
-0.425083388925951	295.010849393954	295.99713773422
-0.422948632421614	295.011062194842	296.013565449985
-0.420813875917278	295.011278500878	296.030195294211
-0.418679119412942	295.011498355169	296.047028367662
-0.416544362908606	295.011721801054	296.064065749116
-0.414409606404269	295.011948882101	296.081308494745
-0.412274849899933	295.012179642104	296.098757637496
-0.410140093395597	295.012414125076	296.116414186466
-0.408005336891261	295.012652375244	296.13427912628
-0.405870580386925	295.012894437044	296.152353416464
-0.403735823882588	295.013140355118	296.170637990818
-0.401601067378252	295.013390174303	296.189133756793
-0.399466310873916	295.01364393963	296.207841594856
-0.39733155436958	295.013901696318	296.226762357869
-0.395196797865243	295.014163489765	296.245896870456
-0.393062041360907	295.014429365547	296.265245928379
-0.390927284856571	295.014699369404	296.284810297905
-0.388792528352235	295.014973547244	296.304590715185
-0.386657771847898	295.015251945125	296.324587885627
-0.384523015343562	295.01553460926	296.344802483268
-0.382388258839226	295.015821586001	296.365235150153
-0.38025350233489	295.016112921838	296.385886495716
-0.378118745830554	295.016408663387	296.406757096157
-0.375983989326217	295.01670885739	296.427847493827
-0.373849232821881	295.0170135507	296.449158196614
-0.371714476317545	295.017322790277	296.470689677328
-0.369579719813209	295.017636623185	296.492442373099
-0.367444963308872	295.017955096574	296.514416684766
-0.365310206804536	295.018278257682	296.536612976278
-0.3631754503002	295.018606153823	296.559031574099
-0.361040693795864	295.018938832378	296.58167276661
-0.358905937291528	295.01927634079	296.604536803527
-0.356771180787191	295.019618726551	296.62762389531
-0.354636424282855	295.0199660372	296.650934212592
-0.352501667778519	295.020318320308	296.674467885601
-0.350366911274183	295.020675623475	296.698225003595
-0.348232154769846	295.021037994315	296.722205614301
-0.34609739826551	295.021405480454	296.746409723358
-0.343962641761174	295.021778129516	296.770837293774
-0.341827885256838	295.022155989117	296.795488245377
-0.339693128752502	295.022539106851	296.820362454288
-0.337558372248165	295.022927530289	296.845459752393
-0.335423615743829	295.023321306959	296.87077992682
-0.333288859239493	295.023720484347	296.896322719434
-0.331154102735157	295.024125109878	296.922087826333
-0.32901934623082	295.024535230914	296.948074897353
-0.326884589726484	295.024950894737	296.974283535586
-0.324749833222148	295.025372148546	297.000713296904
-0.322615076717812	295.025799039441	297.027363689492
-0.320480320213476	295.026231614416	297.054234173394
-0.318345563709139	295.026669920348	297.081324160071
-0.316210807204803	295.027114003987	297.108633011957
-0.314076050700467	295.027563911944	297.136160042045
-0.311941294196131	295.028019690683	297.163904513466
-0.309806537691794	295.028481386508	297.191865639092
-0.307671781187458	295.028949045552	297.220042581143
-0.305537024683122	295.029422713769	297.248434450812
-0.303402268178786	295.029902436921	297.277040307893
-0.301267511674449	295.030388260567	297.305859160433
-0.299132755170113	295.030880230051	297.334889964389
-0.296997998665777	295.031378390495	297.364131623297
-0.294863242161441	295.031882786783	297.393582987963
-0.292728485657105	295.032393463551	297.423242856156
-0.290593729152768	295.032910465178	297.453109972322
-0.288458972648432	295.033433835772	297.483183027312
-0.286324216144096	295.03396361916	297.513460658122
-0.28418945963976	295.034499858875	297.543941447645
-0.282054703135424	295.035042598147	297.574623924445
-0.279919946631087	295.035591879887	297.605506562538
-0.277785190126751	295.036147746681	297.636587781197
-0.275650433622415	295.036710240773	297.667865944759
-0.273515677118079	295.037279404057	297.699339362465
-0.271380920613742	295.037855278065	297.731006288301
-0.269246164109406	295.038437903951	297.762864920862
-0.26711140760507	295.039027322483	297.794913403231
-0.264976651100734	295.039623574033	297.827149822878
-0.262841894596398	295.040226698559	297.859572211564
-0.260707138092061	295.040836735599	297.892178545281
-0.258572381587725	295.041453724254	297.924966744188
-0.256437625083389	295.042077703182	297.95793467258
-0.254302868579053	295.04270871058	297.991080138866
-0.252168112074716	295.043346784175	298.024400895571
-0.25003335557038	295.043991961212	298.057894639346
-0.247898599066044	295.044644278444	298.091559011005
-0.245763842561708	295.045303772115	298.125391595578
-0.243629086057371	295.045970477953	298.159389922376
-0.241494329553035	295.046644431154	298.193551465085
-0.239359573048699	295.047325666374	298.227873641868
-0.237224816544363	295.048014217714	298.262353815489
-0.235090060040027	295.048710118711	298.296989293461
-0.23295530353569	295.049413402324	298.331777328205
-0.230820547031354	295.050124100922	298.366715117228
-0.228685790527018	295.050842246273	298.401799803331
-0.226551034022682	295.051567869535	298.437028474818
-0.224416277518346	295.05230100124	298.47239816574
-0.222281521014009	295.053041671282	298.50790585615
-0.220146764509673	295.053789908912	298.543548472376
-0.218012008005337	295.05454574272	298.579322887321
-0.215877251501001	295.055309200624	298.615225920773
-0.213742494996664	295.056080309863	298.651254339741
-0.211607738492328	295.056859096984	298.687404858804
-0.209472981987992	295.057645587825	298.723674140489
-0.207338225483656	295.058439807514	298.760058795654
-0.205203468979319	295.059241780451	298.796555383906
-0.203068712474983	295.060051530297	298.833160414025
-0.200933955970647	295.060869079967	298.869870344418
-0.198799199466311	295.061694451616	298.90668158358
-0.196664442961975	295.06252766663	298.943590490589
-0.194529686457638	295.063368745616	298.980593375607
-0.192394929953302	295.064217708388	299.017686500407
-0.190260173448966	295.065074573961	299.054866078916
-0.18812541694463	295.065939360538	299.092128277783
-0.185990660440293	295.066812085502	299.129469216954
-0.183855903935957	295.067692765402	299.166884970278
-0.181721147431621	295.06858141595	299.204371566125
-0.179586390927285	295.069478052003	299.241924988022
-0.177451634422948	295.070382687561	299.279541175314
-0.175316877918612	295.071295335753	299.317216023834
-0.173182121414276	295.072216008828	299.354945386599
-0.17104736490994	295.073144718148	299.392725074519
-0.168912608405604	295.074081474178	299.430550857129
-0.166777851901267	295.075026286475	299.46841846333
-0.164643095396931	295.075979163683	299.506323582159
-0.162508338892595	295.076940113523	299.544261863567
-0.160373582388259	295.077909142783	299.582228919219
-0.158238825883923	295.078886257311	299.620220323309
