t_d_model_ps	DeltaT_lattice_K	DeltaT_electron_K
-2.86124082721815	295.000522014829	295.068546927021
-2.85657104736491	295.000553347865	295.069442200243
-2.85190126751167	295.000585078011	295.070195895274
-2.84723148765844	295.000617139833	295.070813418654
-2.8425617078052	295.00064947042	295.071300111792
-2.83789192795197	295.000682009355	295.071684762391
-2.83322214809873	295.000714709519	295.072198904113
-2.8285523682455	295.000747630538	295.072829955585
-2.82388258839226	295.000780826202	295.073568665791
-2.81921280853903	295.000814346008	295.074407585041
-2.81454302868579	295.000848235992	295.075332840946
-2.80987324883255	295.000882535769	295.07633088881
-2.80520346897932	295.000917278693	295.077397902789
-2.80053368912608	295.000952496335	295.078530358444
-2.79586390927285	295.000988218627	295.079725017926
-2.79119412941961	295.001024473993	295.080743635066
-2.78652434956638	295.001061181026	295.081548790684
-2.78185456971314	295.001098241117	295.082154533876
-2.77718478985991	295.001135562184	295.082572397199
-2.77251501000667	295.001173057513	295.082781280543
-2.76784523015344	295.001210630704	295.082645279861
-2.7631754503002	295.001248122767	295.082184425458
-2.75850567044696	295.001285384027	295.081415655728
-2.75383589059373	295.001322272692	295.080353965781
-2.74916611074049	295.001358653954	295.079262346834
-2.74449633088726	295.001394514296	295.078340649619
-2.73982655103402	295.001429932319	295.077572258538
-2.73515677118079	295.00146497892	295.076944838953
-2.73048699132755	295.001499719267	295.076448439233
-2.72581721147432	295.00153421391	295.076120419667
-2.72114743162108	295.001568540583	295.075955240066
-2.71647765176784	295.001602774427	295.075943555948
-2.71180787191461	295.001636986236	295.076077131823
-2.70713809206137	295.001671242972	295.07630573605
-2.70246831220814	295.001705588409	295.076500663319
-2.6977985323549	295.001740006974	295.076666845549
-2.69312875250167	295.001774485378	295.076807490975
-2.68845897264843	295.001809011821	295.07692494438
-2.6837891927952	295.001843575589	295.076946106367
-2.67911941294196	295.00187813228	295.076829480606
-2.67444963308873	295.00191261839	295.076583856371
-2.66977985323549	295.001946974499	295.076216522468
-2.66511007338225	295.001981144578	295.075733823241
-2.66044029352902	295.002015075552	295.07560765271
-2.65577051367578	295.002048931886	295.075818622236
-2.65110073382255	295.002082869014	295.076345065481
-2.64643095396931	295.002117032303	295.077168921969
-2.64176117411608	295.002151558717	295.07815250923
-2.63709139426284	295.002186521687	295.079049273924
-2.63242161440961	295.002221880964	295.079870135927
-2.62775183455637	295.002257601358	295.080622523045
-2.62308205470314	295.002293651126	295.081312084076
-2.6184122748499	295.002330001143	295.081861983469
-2.61374249499666	295.002366586888	295.082248595645
-2.60907271514343	295.002403332981	295.082482074701
-2.60440293529019	295.002440168766	295.082571019477
-2.59973315543696	295.002477027586	295.08253797511
-2.59506337558372	295.002513853209	295.082609384855
-2.59039359573049	295.002550693809	295.082775142642
-2.58572381587725	295.002587592871	295.083028009239
-2.58105403602402	295.002624590522	295.083362224415
-2.57638425617078	295.002661724207	295.083702708612
-2.57171447631754	295.002698996751	295.083951842867
-2.56704469646431	295.002736365976	295.08411666529
-2.56237491661107	295.002773792976	295.084202556589
-2.55770513675784	295.002811241343	295.084213995453
-2.5530353569046	295.002848676756	295.084077352354
-2.54836557705137	295.00288603097	295.083778345612
-2.54369579719813	295.002923229193	295.083326042291
-2.5390260173449	295.002960200853	295.082728269493
-2.53435623749166	295.002996879021	295.082060933236
-2.52968645763843	295.003033231788	295.081734294616
-2.52501667778519	295.003069416368	295.081721757387
-2.52034689793195	295.003105577624	295.082002875693
-2.51567711807872	295.003141850917	295.082560588786
-2.51100733822548	295.003178363675	295.083336196478
-2.50633755837225	295.003215216201	295.084275224681
-2.50166777851901	295.003252483641	295.085371234023
-2.49699799866578	295.003290238135	295.086617783188
-2.49232821881254	295.003328548819	295.088008666329
-2.48765843895931	295.003367481932	295.089054726598
-2.48298865910607	295.003406878215	295.089699261659
-2.47831887925284	295.003446552359	295.089969667211
-2.4736490993996	295.003486331786	295.089888382244
-2.46897931954636	295.00352605435	295.089545686628
-2.46430953969313	295.003565599605	295.089198129486
-2.45963975983989	295.003604965415	295.088840092186
-2.45496997998666	295.003644147053	295.088468783977
-2.45030020013342	295.003683138504	295.088082704088
-2.44563042028019	295.003721933061	295.087624281907
-2.44096064042695	295.003760497485	295.087055671799
-2.43629086057372	295.003798781107	295.086382783066
-2.43162108072048	295.003836736009	295.085610618613
-2.42695130086724	295.003874316605	295.084743640786
-2.42228152101401	295.003911479385	295.083765725713
-2.41761174116077	295.00394817343	295.08268106286
-2.41294196130754	295.00398434978	295.081494371865
-2.4082721814543	295.00401996167	295.080209977577
-2.40360240160107	295.004054964356	295.078923748954
-2.39893262174783	295.004089357303	295.077841615284
-2.3942628418946	295.004123234894	295.076947415843
-2.38959306204136	295.004156684012	295.076228614625
-2.38492328218813	295.004189785713	295.075674724109
-2.38025350233489	295.004222616176	295.07534419776
-2.37558372248165	295.004255278485	295.075259178858
-2.37091394262842	295.004287885876	295.075406136117
-2.36624416277518	295.004320545288	295.075773241952
-2.36157438292195	295.004353358157	295.076351771866
